"Key","Series","Value"
"2021-01-05","XA.CAN.03.03.3008.01.001",3203
"2021-01-06","XA.CAN.03.03.3008.01.001",3202
"2021-01-07","XA.CAN.03.03.3008.01.001",3198
"2021-01-08","XA.CAN.03.03.3008.01.001",3207
"2021-01-09","XA.CAN.03.03.3008.01.001",3203
"2021-01-10","XA.CAN.03.03.3008.01.001",3202
"2021-01-11","XA.CAN.03.03.3008.01.001",3203
"2021-01-12","XA.CAN.03.03.3008.01.001",3205
"2021-01-13","XA.CAN.03.03.3008.01.001",3205
"2021-01-14","XA.CAN.03.03.3008.01.001",3205
"2021-01-15","XA.CAN.03.03.3008.01.001",3206
"2021-01-16","XA.CAN.03.03.3008.01.001",3203
"2021-01-17","XA.CAN.03.03.3008.01.001",3198
"2021-01-18","XA.CAN.03.03.3008.01.001",3202
"2021-01-19","XA.CAN.03.03.3008.01.001",3202
"2021-01-20","XA.CAN.03.03.3008.01.001",3209
"2021-01-21","XA.CAN.03.03.3008.01.001",3212
"2021-01-22","XA.CAN.03.03.3008.01.001",3203
"2021-01-23","XA.CAN.03.03.3008.01.001",3200
"2021-01-24","XA.CAN.03.03.3008.01.001",3205
"2021-01-25","XA.CAN.03.03.3008.01.001",3199
"2021-01-26","XA.CAN.03.03.3008.01.001",3198
"2021-01-27","XA.CAN.03.03.3008.01.001",3202
"2021-01-28","XA.CAN.03.03.3008.01.001",3200
"2021-01-29","XA.CAN.03.03.3008.01.001",3196
"2021-01-30","XA.CAN.03.03.3008.01.001",3201
"2021-01-31","XA.CAN.03.03.3008.01.001",3203
"2021-02-01","XA.CAN.03.03.3008.01.001",3201
"2021-02-02","XA.CAN.03.03.3008.01.001",3201
"2021-02-03","XA.CAN.03.03.3008.01.001",3203
"2021-02-04","XA.CAN.03.03.3008.01.001",3202
"2021-02-05","XA.CAN.03.03.3008.01.001",3203
"2021-02-06","XA.CAN.03.03.3008.01.001",3204
"2021-02-07","XA.CAN.03.03.3008.01.001",3206
"2021-02-08","XA.CAN.03.03.3008.01.001",3198
"2021-02-09","XA.CAN.03.03.3008.01.001",3203
"2021-02-10","XA.CAN.03.03.3008.01.001",3204
"2021-02-11","XA.CAN.03.03.3008.01.001",3204
"2021-02-12","XA.CAN.03.03.3008.01.001",3206
"2021-02-13","XA.CAN.03.03.3008.01.001",3208
"2021-02-14","XA.CAN.03.03.3008.01.001",3200
"2021-02-15","XA.CAN.03.03.3008.01.001",3203
"2021-02-16","XA.CAN.03.03.3008.01.001",3214
"2021-02-17","XA.CAN.03.03.3008.01.001",3205
"2021-02-18","XA.CAN.03.03.3008.01.001",3199
"2021-02-19","XA.CAN.03.03.3008.01.001",3203
"2021-02-20","XA.CAN.03.03.3008.01.001",3205
"2021-02-21","XA.CAN.03.03.3008.01.001",3206
"2021-02-22","XA.CAN.03.03.3008.01.001",3204
"2021-02-23","XA.CAN.03.03.3008.01.001",3203
"2021-02-24","XA.CAN.03.03.3008.01.001",3202
"2021-02-25","XA.CAN.03.03.3008.01.001",3199
"2021-02-26","XA.CAN.03.03.3008.01.001",3195
"2021-02-27","XA.CAN.03.03.3008.01.001",3196
"2021-02-28","XA.CAN.03.03.3008.01.001",3202
"2021-03-01","XA.CAN.03.03.3008.01.001",3199
"2021-03-02","XA.CAN.03.03.3008.01.001",3197
"2021-03-03","XA.CAN.03.03.3008.01.001",3196
"2021-03-04","XA.CAN.03.03.3008.01.001",3192
"2021-03-05","XA.CAN.03.03.3008.01.001",3196
"2021-03-06","XA.CAN.03.03.3008.01.001",3200
"2021-03-07","XA.CAN.03.03.3008.01.001",3196
"2021-03-08","XA.CAN.03.03.3008.01.001",3200
"2021-03-09","XA.CAN.03.03.3008.01.001",3197
"2021-03-10","XA.CAN.03.03.3008.01.001",3199
"2021-03-11","XA.CAN.03.03.3008.01.001",3198
"2021-03-12","XA.CAN.03.03.3008.01.001",3193
"2021-03-13","XA.CAN.03.03.3008.01.001",3195
"2021-03-14","XA.CAN.03.03.3008.01.001",3195
"2021-03-15","XA.CAN.03.03.3008.01.001",3198
"2021-03-16","XA.CAN.03.03.3008.01.001",3195
"2021-03-17","XA.CAN.03.03.3008.01.001",3196
"2021-03-18","XA.CAN.03.03.3008.01.001",3196
"2021-03-19","XA.CAN.03.03.3008.01.001",3199
"2021-03-20","XA.CAN.03.03.3008.01.001",3192
"2021-03-21","XA.CAN.03.03.3008.01.001",3190
"2021-03-22","XA.CAN.03.03.3008.01.001",3193
"2021-03-23","XA.CAN.03.03.3008.01.001",3203
"2021-03-24","XA.CAN.03.03.3008.01.001",3195
"2021-03-25","XA.CAN.03.03.3008.01.001",3197
"2021-03-26","XA.CAN.03.03.3008.01.001",0
"2021-03-27","XA.CAN.03.03.3008.01.001",0
"2021-03-28","XA.CAN.03.03.3008.01.001",0
"2021-03-29","XA.CAN.03.03.3008.01.001",0
"2021-03-30","XA.CAN.03.03.3008.01.001",0
"2021-03-31","XA.CAN.03.03.3008.01.001",0
"2021-04-01","XA.CAN.03.03.3008.01.001",0
"2021-04-02","XA.CAN.03.03.3008.01.001",0
"2021-04-03","XA.CAN.03.03.3008.01.001",0
"2021-04-04","XA.CAN.03.03.3008.01.001",0
"2021-04-05","XA.CAN.03.03.3008.01.001",0
"2021-04-06","XA.CAN.03.03.3008.01.001",0
"2021-04-07","XA.CAN.03.03.3008.01.001",0
"2021-04-08","XA.CAN.03.03.3008.01.001",0
"2021-04-09","XA.CAN.03.03.3008.01.001",0
"2021-04-10","XA.CAN.03.03.3008.01.001",0
"2021-04-11","XA.CAN.03.03.3008.01.001",0
"2021-04-12","XA.CAN.03.03.3008.01.001",0
"2021-04-13","XA.CAN.03.03.3008.01.001",0
"2021-04-14","XA.CAN.03.03.3008.01.001",3221
"2021-04-15","XA.CAN.03.03.3008.01.001",3222
"2021-04-16","XA.CAN.03.03.3008.01.001",3220
"2021-04-17","XA.CAN.03.03.3008.01.001",3219
"2021-04-18","XA.CAN.03.03.3008.01.001",3221
"2021-04-19","XA.CAN.03.03.3008.01.001",3221
"2021-04-20","XA.CAN.03.03.3008.01.001",3221
"2021-04-21","XA.CAN.03.03.3008.01.001",3223
"2021-04-22","XA.CAN.03.03.3008.01.001",3222
"2021-04-23","XA.CAN.03.03.3008.01.001",3223
"2021-04-24","XA.CAN.03.03.3008.01.001",3222
"2021-04-25","XA.CAN.03.03.3008.01.001",3225
