Site ID,Class,Subclass,Status,Name,Make,Model,Cabinet,U Position,Slot Position,IP Address,Serial Number,Type,Function,Contact,Contact Team,Customer,Mounting,Form Factor,Created By,Request Number,Request Stage,Created On,Origin,Notes,PowerIQ Object ID,Integration Status,VM Manager,VM Manager Integration Status,VMware Status Update Date,Customer Service,Technical Support,Account Number,Node Code,Planning Expiration
CM Beijing,Network,NetworkStack,Planned,G0000906,Arista Networks,DCS-7010T-48-F,XA.BJS.02.02.2009.01.003,28,,,JPE19412821,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:32-05,Import,,2280,,,,,,,,2009,
CU Guangzhou,Network,NetworkStack,Planned,G0000907,Arista Networks,DCS-7280SR-48C6-F,XA.CAN.03.03.3008.01.001,21,,,JPE19392295,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:33-05,Import,,1939,,,,,,,,3008,
CM Beijing,Network,NetworkStack,Planned,G0000908,Arista Networks,DCS-7280SR-48C6-F,XA.BJS.02.02.2009.01.001,27,,,JPE19392244,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:34-05,Import,,2241,,,,,,,,2009,
CU Guangzhou,Network,NetworkStack,Planned,G0000909,Arista Networks,DCS-7280SR-48C6-F,XA.CAN.03.03.3008.01.001,27,,,JPE19392246,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:36-05,Import,,1909,,,,,,,,3008,
GDS,Network,NetworkStack,Planned,G0000913,Opengear,IM7248-2-DAC-US,XA.CTU.04.03.0301.01.001,10,,,7.25E+13,,,,,,Rackable,Fixed,lu_d_zhang,,,04/17/2020 04:29:50-04,Import,,27605,,,,,,,,301,
CM Guangzhou,Network,NetworkStack,Installed,G0000914,Opengear,IM7248-2-DAC-US,XA.CAN.02.05.0504.01.001,23,,,7.25E+13,,,,,,Rackable,Fixed,pei_ye,,,03/23/2020 05:29:29-04,Import,,2514,,,,,,,,504,
DR Peng Beijing,Network,NetworkStack,Planned,G0000915,Arista Networks,DCS-7280SR-48C6-F,XA.BJS.04.01.MD09.01.002,27,,,JPE19392238,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:37-05,Import,,28048,,,,,,,,MD09,
DR Peng Beijing,Network,NetworkStack,Planned,G0000916,Arista Networks,DCS-7280SR-48C6-F,XA.BJS.04.01.MD09.01.001,21,,,JPE19392264,,,,,,Rackable,Fixed,admin,,,01/28/2020 15:15:39-05,Import,,28069,,,,,,,,MD09,
CM Guangzhou,Network,NetworkStack,Installed,G0000917,Opengear,IM7248-2-DAC-US,XA.CAN.02.05.0504.01.001,10,,,7.25E+13,,,,,,Rackable,Fixed,pei_ye,,,03/23/2020 05:29:58-04,Import,,2513,,,,,,,,504,
CM Wuhan,Network,NetworkStack,Planned,G0000918,Opengear,IM7248-2-DAC_IW,XA.WUH.02.02.0205.01.001,10,,,7.25E+13,,,,,,Rackable,Fixed,lu_d_zhang,,,11/25/2020 04:33:13-05,Import,,27111,,,,,,,,205,
